"IDNum","QuestionNum","round","condition","target","response","correct","voicing","manner"
"P22","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P5","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P14","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P45","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P12","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P44","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P31","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P42","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P7","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P30","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P46","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P49","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P33","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P37","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P16","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P47","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P9","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P24","Q9",1,"Unmasked","rue","loo",0,"voiced","semivowel"
"P13","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P32","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P4","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P36","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P39","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P38","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P19","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P3","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P21","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P34","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P43","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P23","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P6","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P41","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P27","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P35","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P20","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P40","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P17","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P10","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P1","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P28","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P48","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P18","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P2","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P29","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P8","Q9",1,"Unmasked","rue","rue",1,"voiced","semivowel"
"P26","Q10",1,"Masked","do","do",1,"voiced","stop"
"P15","Q10",1,"Masked","do","to",0,"voiced","stop"
"P25","Q10",1,"Masked","do","loo",0,"voiced","stop"
"P11","Q10",1,"Masked","do","do",1,"voiced","stop"
"P22","Q10",1,"Masked","do","do",1,"voiced","stop"
"P5","Q10",1,"Masked","do","do",1,"voiced","stop"
"P14","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P45","Q10",1,"Masked","do","do",1,"voiced","stop"
"P12","Q10",1,"Masked","do","to",0,"voiced","stop"
"P44","Q10",1,"Masked","do","to",0,"voiced","stop"
"P31","Q10",1,"Masked","do","do",1,"voiced","stop"
"P42","Q10",1,"Masked","do","do",1,"voiced","stop"
"P7","Q10",1,"Masked","do","to",0,"voiced","stop"
"P30","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P46","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P49","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P33","Q10",1,"Masked","do","do",1,"voiced","stop"
"P37","Q10",1,"Masked","do","do",1,"voiced","stop"
"P16","Q10",1,"Masked","do","do",1,"voiced","stop"
"P47","Q10",1,"Masked","do","do",1,"voiced","stop"
"P9","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P24","Q10",1,"Masked","do","do",1,"voiced","stop"
"P13","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P32","Q10",1,"Masked","do","do",1,"voiced","stop"
"P4","Q10",1,"Masked","do","do",1,"voiced","stop"
"P36","Q10",1,"Masked","do","to",0,"voiced","stop"
"P39","Q10",1,"Masked","do","do",1,"voiced","stop"
"P38","Q10",1,"Masked","do","do",1,"voiced","stop"
"P19","Q10",1,"Masked","do","do",1,"voiced","stop"
"P3","Q10",1,"Masked","do","do",1,"voiced","stop"
"P21","Q10",1,"Masked","do","do",1,"voiced","stop"
"P34","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P43","Q10",1,"Masked","do","do",1,"voiced","stop"
"P23","Q10",1,"Masked","do","do",1,"voiced","stop"
"P6","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P41","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P27","Q10",1,"Masked","do","do",1,"voiced","stop"
"P35","Q10",1,"Masked","do","do",1,"voiced","stop"
"P20","Q10",1,"Masked","do","do",1,"voiced","stop"
"P40","Q10",1,"Masked","do","do",1,"voiced","stop"
"P17","Q10",1,"Masked","do","do",1,"voiced","stop"
"P10","Q10",1,"Masked","do","do",1,"voiced","stop"
"P1","Q10",1,"Masked","do","do",1,"voiced","stop"
"P28","Q10",1,"Masked","do","zoo",0,"voiced","stop"
"P48","Q10",1,"Masked","do","do",1,"voiced","stop"
"P18","Q10",1,"Masked","do","do",1,"voiced","stop"
"P2","Q10",1,"Masked","do","do",1,"voiced","stop"
"P29","Q10",1,"Masked","do","do",1,"voiced","stop"
"P8","Q10",1,"Masked","do","do",1,"voiced","stop"
"P26","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P15","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P25","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P11","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P22","Q11",1,"Unmasked","to","shoe",0,"unvoiced","stop"
"P5","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P14","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P45","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P12","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P44","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P31","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P42","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P7","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P30","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P46","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P49","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P33","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P37","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P16","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P47","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P9","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P24","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P13","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P32","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P4","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P36","Q11",1,"Unmasked","to","sue",0,"unvoiced","stop"
"P39","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P38","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P19","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P3","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P21","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P34","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P43","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P23","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P6","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P41","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P27","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P35","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P20","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P40","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P17","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P10","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P1","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P28","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P48","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P18","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P2","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P29","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P8","Q11",1,"Unmasked","to","to",1,"unvoiced","stop"
"P26","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P15","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P25","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P11","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P22","Q12",1,"Masked","to","shoe",0,"unvoiced","stop"
"P5","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P14","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P45","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P12","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P44","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P31","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P42","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P7","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P30","Q12",1,"Masked","to","sue",0,"unvoiced","stop"
"P46","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P49","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P33","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P37","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P16","Q12",1,"Masked","to","do",0,"unvoiced","stop"
"P47","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P9","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P24","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P13","Q12",1,"Masked","to","do",0,"unvoiced","stop"
"P32","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P4","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P36","Q12",1,"Masked","to","rue",0,"unvoiced","stop"
"P39","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P38","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P19","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P3","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P21","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P34","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P43","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P23","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P6","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P41","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P27","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P35","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P20","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P40","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P17","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P10","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P1","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P28","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P48","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P18","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P2","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P29","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P8","Q12",1,"Masked","to","to",1,"unvoiced","stop"
"P26","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P15","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P25","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P11","Q13",1,"Unmasked","sue","zoo",0,"unvoiced","fricative"
"P22","Q13",1,"Unmasked","sue","zoo",0,"unvoiced","fricative"
"P5","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P14","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P45","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P12","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P44","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P31","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P42","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P7","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P30","Q13",1,"Unmasked","sue","zoo",0,"unvoiced","fricative"
"P46","Q13",1,"Unmasked","sue","zoo",0,"unvoiced","fricative"
"P49","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P33","Q13",1,"Unmasked","sue","zoo",0,"unvoiced","fricative"
"P37","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P16","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P47","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P9","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P24","Q13",1,"Unmasked","sue","zoo",0,"unvoiced","fricative"
"P13","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P32","Q13",1,"Unmasked","sue","zoo",0,"unvoiced","fricative"
"P4","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P36","Q13",1,"Unmasked","sue","loo",0,"unvoiced","fricative"
"P39","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P38","Q13",1,"Unmasked","sue","zoo",0,"unvoiced","fricative"
"P19","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P3","Q13",1,"Unmasked","sue","zoo",0,"unvoiced","fricative"
"P21","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P34","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P43","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P23","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P6","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P41","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P27","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P35","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P20","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P40","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P17","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P10","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P1","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P28","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P48","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P18","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P2","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P29","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P8","Q13",1,"Unmasked","sue","sue",1,"unvoiced","fricative"
"P26","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P15","Q14",1,"Masked","sue","do",0,"unvoiced","fricative"
"P25","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P11","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P22","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P5","Q14",1,"Masked","sue","do",0,"unvoiced","fricative"
"P14","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P45","Q14",1,"Masked","sue","to",0,"unvoiced","fricative"
"P12","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P44","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P31","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P42","Q14",1,"Masked","sue","do",0,"unvoiced","fricative"
"P7","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P30","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P46","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P49","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P33","Q14",1,"Masked","sue","to",0,"unvoiced","fricative"
"P37","Q14",1,"Masked","sue","to",0,"unvoiced","fricative"
"P16","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P47","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P9","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P24","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P13","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P32","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P4","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P36","Q14",1,"Masked","sue","shoe",0,"unvoiced","fricative"
"P39","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P38","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P19","Q14",1,"Masked","sue","to",0,"unvoiced","fricative"
"P3","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P21","Q14",1,"Masked","sue","do",0,"unvoiced","fricative"
"P34","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P43","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P23","Q14",1,"Masked","sue","to",0,"unvoiced","fricative"
"P6","Q14",1,"Masked","sue","do",0,"unvoiced","fricative"
"P41","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P27","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P35","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P20","Q14",1,"Masked","sue","to",0,"unvoiced","fricative"
"P40","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P17","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P10","Q14",1,"Masked","sue","to",0,"unvoiced","fricative"
"P1","Q14",1,"Masked","sue","to",0,"unvoiced","fricative"
"P28","Q14",1,"Masked","sue","to",0,"unvoiced","fricative"
"P48","Q14",1,"Masked","sue","do",0,"unvoiced","fricative"
"P18","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P2","Q14",1,"Masked","sue","zoo",0,"unvoiced","fricative"
"P29","Q14",1,"Masked","sue","do",0,"unvoiced","fricative"
"P8","Q14",1,"Masked","sue","sue",1,"unvoiced","fricative"
"P26","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P15","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P25","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P11","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P22","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P5","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P14","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P45","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P12","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P44","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P31","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P42","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P7","Q15",1,"Unmasked","loo","zoo",0,"voiced","semivowel"
"P30","Q15",1,"Unmasked","loo","jus",0,"voiced","semivowel"
"P46","Q15",1,"Unmasked","loo","jus",0,"voiced","semivowel"
"P49","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P33","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P37","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P16","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P47","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P9","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P24","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P13","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P32","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P4","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P36","Q15",1,"Unmasked","loo","zoo",0,"voiced","semivowel"
"P39","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P38","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P19","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P3","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P21","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P34","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P43","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P23","Q15",1,"Unmasked","loo","jus",0,"voiced","semivowel"
"P6","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P41","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P27","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P35","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P20","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P40","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P17","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P10","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P1","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P28","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P48","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P18","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P2","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P29","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P8","Q15",1,"Unmasked","loo","loo",1,"voiced","semivowel"
"P26","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P15","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P25","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P11","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P22","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P5","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P14","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P45","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P12","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P44","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P31","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P42","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P7","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P30","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P46","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P49","Q16",1,"Masked","zoo","jus",0,"voiced","fricative"
"P33","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P37","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P16","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P47","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P9","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P24","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P13","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P32","Q16",1,"Masked","zoo","do",0,"voiced","fricative"
"P4","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P36","Q16",1,"Masked","zoo","shoe",0,"voiced","fricative"
"P39","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P38","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P19","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P3","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P21","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P34","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P43","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P23","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P6","Q16",1,"Masked","zoo","jus",0,"voiced","fricative"
"P41","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P27","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P35","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P20","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P40","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P17","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P10","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P1","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P28","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P48","Q16",1,"Masked","zoo","do",0,"voiced","fricative"
"P18","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P2","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P29","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P8","Q16",1,"Masked","zoo","zoo",1,"voiced","fricative"
"P26","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P15","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P25","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P11","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P22","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P5","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P14","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P45","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P12","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P44","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P31","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P42","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P7","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P30","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P46","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P49","Q1",2,"Unmasked","zoo","zoo",1,"voiced","fricative"
